"year","state","sex","births"
1981,"AK","boy",4721
1982,"AK","boy",5139
1983,"AK","boy",5662
1984,"AK","boy",5909
1985,"AK","boy",6413
1986,"AK","boy",6599
1987,"AK","boy",6490
1988,"AK","boy",6250
1989,"AK","boy",6148
1990,"AK","boy",6134
1991,"AK","boy",5861
1992,"AK","boy",5687
1993,"AK","boy",5480
1994,"AK","boy",5210
1995,"AK","boy",4968
1996,"AK","boy",4863
1997,"AK","boy",4893
1998,"AK","boy",4881
1999,"AK","boy",4838
2000,"AK","boy",4902
2001,"AK","boy",4857
2002,"AK","boy",4808
2003,"AK","boy",4929
2004,"AK","boy",5072
2005,"AK","boy",5337
2006,"AK","boy",5582
1981,"AL","boy",31828
1982,"AL","boy",31428
1983,"AL","boy",30795
1984,"AL","boy",29644
1985,"AL","boy",30124
1986,"AL","boy",30035
1987,"AL","boy",29940
1988,"AL","boy",30162
1989,"AL","boy",30712
1990,"AL","boy",30741
1991,"AL","boy",31015
1992,"AL","boy",31083
1993,"AL","boy",30687
1994,"AL","boy",30138
1995,"AL","boy",29818
1996,"AL","boy",29405
1997,"AL","boy",29887
1998,"AL","boy",29910
1999,"AL","boy",30075
2000,"AL","boy",30593
2001,"AL","boy",31719
2002,"AL","boy",30165
2003,"AL","boy",30172
2004,"AL","boy",30497
2005,"AL","boy",30994
2006,"AL","boy",31415
1981,"AR","boy",19122
1982,"AR","boy",18731
1983,"AR","boy",18308
1984,"AR","boy",17604
1985,"AR","boy",17759
1986,"AR","boy",17501
1987,"AR","boy",17332
1988,"AR","boy",17356
1989,"AR","boy",17499
1990,"AR","boy",17553
1991,"AR","boy",17578
1992,"AR","boy",17512
1993,"AR","boy",17157
1994,"AR","boy",17274
1995,"AR","boy",17761
1996,"AR","boy",18017
1997,"AR","boy",18071
1998,"AR","boy",18226
1999,"AR","boy",18350
2000,"AR","boy",18658
2001,"AR","boy",19310
2002,"AR","boy",19141
2003,"AR","boy",19464
2004,"AR","boy",19569
2005,"AR","boy",19993
2006,"AR","boy",20686
1981,"AZ","boy",25091
1982,"AZ","boy",25770
1983,"AZ","boy",26376
1984,"AZ","boy",26524
1985,"AZ","boy",28160
1986,"AZ","boy",28916
1987,"AZ","boy",29796
1988,"AZ","boy",30709
1989,"AZ","boy",32142
1990,"AZ","boy",33276
1991,"AZ","boy",34384
1992,"AZ","boy",34299
1993,"AZ","boy",34617
1994,"AZ","boy",34862
1995,"AZ","boy",36347
1996,"AZ","boy",37001
1997,"AZ","boy",37137
1998,"AZ","boy",38549
1999,"AZ","boy",39614
2000,"AZ","boy",40282
2001,"AZ","boy",43470
2002,"AZ","boy",43777
2003,"AZ","boy",45502
2004,"AZ","boy",47112
2005,"AZ","boy",48761
2006,"AZ","boy",51380
1981,"CA","boy",203950
1982,"CA","boy",211968
1983,"CA","boy",219043
1984,"CA","boy",219496
1985,"CA","boy",231676
1986,"CA","boy",237919
1987,"CA","boy",243417
1988,"CA","boy",252620
1989,"CA","boy",266476
1990,"CA","boy",287388
1991,"CA","boy",306051
1992,"CA","boy",298354
1993,"CA","boy",289336
1994,"CA","boy",280476
1995,"CA","boy",271061
1996,"CA","boy",262103
1997,"CA","boy",254334
1998,"CA","boy",250466
1999,"CA","boy",249015
2000,"CA","boy",251844
2001,"CA","boy",266523
2002,"CA","boy",263368
2003,"CA","boy",269909
2004,"CA","boy",271277
2005,"CA","boy",274617
2006,"CA","boy",280484
1981,"CO","boy",25700
1982,"CO","boy",26553
1983,"CO","boy",27306
1984,"CO","boy",26893
1985,"CO","boy",27765
1986,"CO","boy",27806
1987,"CO","boy",27512
1988,"CO","boy",27028
1989,"CO","boy",26825
1990,"CO","boy",27340
1991,"CO","boy",27141
1992,"CO","boy",27391
1993,"CO","boy",27150
1994,"CO","boy",26990
1995,"CO","boy",27325
1996,"CO","boy",27836
1997,"CO","boy",28623
1998,"CO","boy",29725
1999,"CO","boy",30794
2000,"CO","boy",31637
2001,"CO","boy",34156
2002,"CO","boy",34540
2003,"CO","boy",35042
2004,"CO","boy",34560
2005,"CO","boy",34927
2006,"CO","boy",35859
1981,"CT","boy",20392
1982,"CT","boy",20524
1983,"CT","boy",20763
1984,"CT","boy",20488
1985,"CT","boy",21507
1986,"CT","boy",22176
1987,"CT","boy",22678
1988,"CT","boy",23523
1989,"CT","boy",24505
1990,"CT","boy",25425
1991,"CT","boy",24419
1992,"CT","boy",23972
1993,"CT","boy",23529
1994,"CT","boy",22965
1995,"CT","boy",22592
1996,"CT","boy",22088
1997,"CT","boy",21791
1998,"CT","boy",21769
1999,"CT","boy",21815
2000,"CT","boy",22060
2001,"CT","boy",22069
2002,"CT","boy",21731
2003,"CT","boy",22035
2004,"CT","boy",21940
2005,"CT","boy",21050
2006,"CT","boy",21224
1981,"DC","boy",3937
1982,"DC","boy",4039
1983,"DC","boy",4106
1984,"DC","boy",4155
1985,"DC","boy",4428
1986,"DC","boy",4533
1987,"DC","boy",4593
1988,"DC","boy",4627
1989,"DC","boy",4758
1990,"DC","boy",4565
1991,"DC","boy",4617
1992,"DC","boy",4375
1993,"DC","boy",4230
1994,"DC","boy",4091
1995,"DC","boy",3740
1996,"DC","boy",3472
1997,"DC","boy",3345
1998,"DC","boy",3220
1999,"DC","boy",3311
2000,"DC","boy",3378
2001,"DC","boy",3824
2002,"DC","boy",3634
2003,"DC","boy",3632
2004,"DC","boy",3845
2005,"DC","boy",4117
2006,"DC","boy",4009
1981,"DE","boy",4705
1982,"DE","boy",4786
1983,"DE","boy",4823
1984,"DE","boy",4714
1985,"DE","boy",4866
1986,"DE","boy",4906
1987,"DE","boy",4917
1988,"DE","boy",5027
1989,"DE","boy",5210
1990,"DE","boy",5462
1991,"DE","boy",5510
1992,"DE","boy",5389
1993,"DE","boy",5245
1994,"DE","boy",5181
1995,"DE","boy",5086
1996,"DE","boy",5045
1997,"DE","boy",5106
1998,"DE","boy",5196
1999,"DE","boy",5274
2000,"DE","boy",5378
2001,"DE","boy",5540
2002,"DE","boy",5507
2003,"DE","boy",5811
2004,"DE","boy",5721
2005,"DE","boy",5862
2006,"DE","boy",6085
1981,"FL","boy",67400
1982,"FL","boy",69660
1983,"FL","boy",71656
1984,"FL","boy",72422
1985,"FL","boy",77423
1986,"FL","boy",80630
1987,"FL","boy",83198
1988,"FL","boy",86895
1989,"FL","boy",91310
1990,"FL","boy",96474
1991,"FL","boy",98225
1992,"FL","boy",96053
1993,"FL","boy",96069
1994,"FL","boy",94743
1995,"FL","boy",93190
1996,"FL","boy",93116
1997,"FL","boy",94176
1998,"FL","boy",94934
1999,"FL","boy",95887
2000,"FL","boy",97032
2001,"FL","boy",105835
2002,"FL","boy",106332
2003,"FL","boy",108108
2004,"FL","boy",111539
2005,"FL","boy",116419
2006,"FL","boy",121833
1981,"GA","boy",46410
1982,"GA","boy",46787
1983,"GA","boy",46687
1984,"GA","boy",45823
1985,"GA","boy",47686
1986,"GA","boy",48555
1987,"GA","boy",49512
1988,"GA","boy",51261
1989,"GA","boy",53663
1990,"GA","boy",55016
1991,"GA","boy",54896
1992,"GA","boy",55087
1993,"GA","boy",54940
1994,"GA","boy",54802
1995,"GA","boy",55095
1996,"GA","boy",55647
1997,"GA","boy",57321
1998,"GA","boy",59331
1999,"GA","boy",61456
2000,"GA","boy",63207
2001,"GA","boy",68617
2002,"GA","boy",67945
2003,"GA","boy",68390
2004,"GA","boy",71035
2005,"GA","boy",72999
2006,"GA","boy",75304
1981,"HI","boy",9246
1982,"HI","boy",9384
1983,"HI","boy",9543
1984,"HI","boy",9333
1985,"HI","boy",9496
1986,"HI","boy",9373
1987,"HI","boy",9278
1988,"HI","boy",9382
1989,"HI","boy",9528
1990,"HI","boy",9617
1991,"HI","boy",9830
1992,"HI","boy",9716
1993,"HI","boy",9579
1994,"HI","boy",9323
1995,"HI","boy",8942
1996,"HI","boy",8486
1997,"HI","boy",8176
1998,"HI","boy",8000
1999,"HI","boy",7951
2000,"HI","boy",7847
2001,"HI","boy",7424
2002,"HI","boy",7568
2003,"HI","boy",8145
2004,"HI","boy",8634
2005,"HI","boy",8772
2006,"HI","boy",9666
1981,"IA","boy",24903
